10016|basculin-blue-striped|Hostile Pokémon|Though it differs from other Basculin in several respects, including demeanor this one is gentle I have categorized it as a regional form given the vast array of shared qualities.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10016.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10016.png|water|rock-head, adaptability, mold-breaker|C |B |C-|B-|D |B+|3|3|40|blue-striped
10027|pumpkaboo-small|Pumpkin Pokémon|The light that streams out from the holes in the pumpkin can hypnotize and control the people and Pokémon that see it.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10027.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10027.png|ghost, grass|pickup, frisk, insomnia|D-|C |C |D-|D |D+|0|11|8|small
10028|pumpkaboo-large|Pumpkin Pokémon|The light that streams out from the holes in the pumpkin can hypnotize and control the people and Pokémon that see it.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10028.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10028.png|ghost, grass|pickup, frisk, insomnia|D |C |C |D-|D |D-|1|7|17|large
10029|pumpkaboo-super|Pumpkin Pokémon|The light that streams out from the holes in the pumpkin can hypnotize and control the people and Pokémon that see it.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10029.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10029.png|ghost, grass|pickup, frisk, insomnia|D+|C |C |D-|D |D-|2|7|33|super
10030|gourgeist-small|Pumpkin Pokémon|Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10030.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10030.png|ghost, grass|pickup, frisk, insomnia|D |B-|A+|D+|C+|B+|2|3|21|small
10031|gourgeist-large|Pumpkin Pokémon|Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10031.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10031.png|ghost, grass|pickup, frisk, insomnia|C+|B+|A+|D+|C+|C |3|7|31|large
10032|gourgeist-super|Pumpkin Pokémon|Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10032.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10032.png|ghost, grass|pickup, frisk, insomnia|B-|A-|A+|D+|C+|D |5|6|86|super
10094|pikachu-original-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10094.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10094.png|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|original-cap
10095|pikachu-hoenn-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10095.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10095.png|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|hoenn-cap
10096|pikachu-sinnoh-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10096.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10096.png|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|sinnoh-cap
10097|pikachu-unova-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10097.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10097.png|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|unova-cap
